hhid	mauzaid	setid	panel_settlement	hh_gps_north	hh_gps_east	district
40591	107	2	1	28.93342	70.98493	"RAHIM YAR KHAN"
40616	107	2	1	28.92655	70.98479	"RAHIM YAR KHAN"
41040	107	3	5	28.93907	70.98518	"RAHIM YAR KHAN"
41083	107	3	5	28.94023	70.98682	"RAHIM YAR KHAN"
41066	107	3	5	28.94125	70.98635	"RAHIM YAR KHAN"
40887	107	4	4	28.93302	70.98168	"RAHIM YAR KHAN"
40821	107	4	4	28.93282	70.9863	"RAHIM YAR KHAN"
40837	107	4	4	28.93413	70.98415	"RAHIM YAR KHAN"
41005	107	99	3	28.93205	70.97432	"RAHIM YAR KHAN"
32656	109	1	1	28.50062	70.60754	"RAHIM YAR KHAN"
32680	109	1	1	28.50568	70.61795	"RAHIM YAR KHAN"
32688	109	1	1	28.50572	70.6181	"RAHIM YAR KHAN"
32672	109	1	1	28.50105	70.60758	"RAHIM YAR KHAN"
32681	109	1	1	28.5016	70.61037	"RAHIM YAR KHAN"
32673	109	1	1	28.50122	70.60768	"RAHIM YAR KHAN"
32666	109	1	1	28.50172	70.60616	"RAHIM YAR KHAN"
32655	109	1	1	28.50562	70.6177	"RAHIM YAR KHAN"
32683	109	1	1	28.50157	70.61024	"RAHIM YAR KHAN"
32676	109	1	1	28.50065	70.61072	"RAHIM YAR KHAN"
32653	109	1	1	28.50082	70.60715	"RAHIM YAR KHAN"
32675	109	1	1	28.50135	70.6077	"RAHIM YAR KHAN"
32702	109	99	2	28.51	70.60944	"RAHIM YAR KHAN"
32699	109	99	2	28.49338	70.6076	"RAHIM YAR KHAN"
32697	109	99	2	28.49275	70.60728	"RAHIM YAR KHAN"
32693	109	99	2	28.49227	70.60737	"RAHIM YAR KHAN"
65481	111	1	1	28.4231	70.49921	"RAHIM YAR KHAN"
65502	111	1	1	28.42408	70.4997	"RAHIM YAR KHAN"
65424	111	2	7	28.41963	70.49374	"RAHIM YAR KHAN"
65461	111	2	7	28.42058	70.49512	"RAHIM YAR KHAN"
65434	111	2	7	28.42262	70.49817	"RAHIM YAR KHAN"
65545	111	2	7	28.42067	70.49398	"RAHIM YAR KHAN"
65550	111	2	7	28.42063	70.49512	"RAHIM YAR KHAN"
65413	111	2	7	28.4193	70.49453	"RAHIM YAR KHAN"
65559	111	3	2	28.4215	70.49582	"RAHIM YAR KHAN"
64807	111	4	3	28.4194	70.49699	"RAHIM YAR KHAN"
65328	111	4	3	28.41858	70.49682	"RAHIM YAR KHAN"
65373	111	5	4	28.4187	70.49374	"RAHIM YAR KHAN"
65366	111	5	4	28.41785	70.49533	"RAHIM YAR KHAN"
65610	111	99	8	28.41795	70.47926	"RAHIM YAR KHAN"
65533	111	99	9	28.42637	70.49107	"RAHIM YAR KHAN"
65534	111	99	9	28.42547	70.49107	"RAHIM YAR KHAN"
24915	112	1	5	28.32135	70.44958	"RAHIM YAR KHAN"
24902	112	1	5	28.32273	70.46246	"RAHIM YAR KHAN"
24888	112	1	5	28.3226	70.46222	"RAHIM YAR KHAN"
24469	112	2	1	28.34817	70.45255	"RAHIM YAR KHAN"
24586	112	2	1	28.34775	70.45242	"RAHIM YAR KHAN"
24564	112	2	1	28.34792	70.45942	"RAHIM YAR KHAN"
24503	112	2	1	28.3453	70.45085	"RAHIM YAR KHAN"
24461	112	2	1	28.34917	70.44957	"RAHIM YAR KHAN"
24865	112	3	4	28.32578	70.4561	"RAHIM YAR KHAN"
24856	112	3	4	28.3259	70.45512	"RAHIM YAR KHAN"
24803	112	3	4	28.32647	70.45399	"RAHIM YAR KHAN"
24795	112	3	4	28.32272	70.4619	"RAHIM YAR KHAN"
24728	112	4	2	28.33123	70.43555	"RAHIM YAR KHAN"
24630	112	4	2	28.33402	70.43277	"RAHIM YAR KHAN"
24724	112	4	2	28.3233	70.4351	"RAHIM YAR KHAN"
24932	112	5	6	28.31137	70.44302	"RAHIM YAR KHAN"
37398	113	1	4	28.75858	70.82377	"RAHIM YAR KHAN"
37355	113	2	3	28.75853	70.82657	"RAHIM YAR KHAN"
37374	113	2	3	28.75863	70.82625	"RAHIM YAR KHAN"
37252	113	3	2	28.76207	70.82729	"RAHIM YAR KHAN"
37270	113	3	2	28.76205	70.82719	"RAHIM YAR KHAN"
37277	113	3	2	28.76213	70.82841	"RAHIM YAR KHAN"
37218	113	4	1	28.76635	70.82463	"RAHIM YAR KHAN"
37314	113	4	1	28.76083	70.82753	"RAHIM YAR KHAN"
37328	113	4	1	28.75468	70.82467	"RAHIM YAR KHAN"
37312	113	4	1	28.76073	70.82793	"RAHIM YAR KHAN"
37228	113	4	1	28.766	70.8257	"RAHIM YAR KHAN"
37304	113	4	1	28.7597	70.8307	"RAHIM YAR KHAN"
37331	113	99	0	28.75478	70.82497	"RAHIM YAR KHAN"
37302	113	99	0	28.7594	70.82999	"RAHIM YAR KHAN"
37212	113	99	0	28.7701	70.83145	"RAHIM YAR KHAN"
37215	113	99	0	28.76013	70.82458	"RAHIM YAR KHAN"
102037	115	1	4	28.31033	70.34885	"RAHIM YAR KHAN"
101980	115	1	2	28.3163	70.35786	"RAHIM YAR KHAN"
102105	115	2	5	28.31853	70.36182	"RAHIM YAR KHAN"
101935	115	2	5	28.30868	70.34393	"RAHIM YAR KHAN"
101907	115	2	5	28.3088	70.35447	"RAHIM YAR KHAN"
101943	115	2	5	28.30558	70.35312	"RAHIM YAR KHAN"
101922	115	2	5	28.30507	70.3367	"RAHIM YAR KHAN"
101936	115	2	5	28.3086	70.34464	"RAHIM YAR KHAN"
101925	115	2	5	28.30503	70.35323	"RAHIM YAR KHAN"
101990	115	99	8	28.31642	70.35976	"RAHIM YAR KHAN"
102000	115	99	6	28.31697	70.36311	"RAHIM YAR KHAN"
102008	115	99	1	28.31772	70.3698	"RAHIM YAR KHAN"
102123	115	99	7	28.31653	70.36079	"RAHIM YAR KHAN"
102111	115	99	8	28.31725	70.36262	"RAHIM YAR KHAN"
102069	115	99	8	28.3176	70.36172	"RAHIM YAR KHAN"
101993	115	99	8	28.31668	70.363	"RAHIM YAR KHAN"
63695	116	1	3	28.19753	70.22432	"RAHIM YAR KHAN"
64006	116	1	4	28.1972	70.22202	"RAHIM YAR KHAN"
63841	116	1	1	28.19642	70.22369	"RAHIM YAR KHAN"
63930	116	1	1	28.19578	70.2212	"RAHIM YAR KHAN"
63890	116	1	1	28.1963	70.22315	"RAHIM YAR KHAN"
64007	116	1	4	28.19718	70.22366	"RAHIM YAR KHAN"
63792	116	1	1	28.19562	70.22162	"RAHIM YAR KHAN"
64005	116	1	4	28.19848	70.22237	"RAHIM YAR KHAN"
63820	116	1	3	28.19662	70.22352	"RAHIM YAR KHAN"
63926	116	1	1	28.1962	70.22118	"RAHIM YAR KHAN"
63936	116	99	5	28.2027	70.21605	"RAHIM YAR KHAN"
63944	116	99	5	28.20022	70.2139	"RAHIM YAR KHAN"
63908	116	99	5	28.20177	70.2167	"RAHIM YAR KHAN"
63959	116	99	6	28.19245	70.2102	"RAHIM YAR KHAN"
63984	116	99	6	28.19202	70.2108	"RAHIM YAR KHAN"
63963	116	99	6	28.1924	70.21018	"RAHIM YAR KHAN"
65243	117	1	1	28.2474	70.16325	"RAHIM YAR KHAN"
65164	117	1	6	28.2463	70.16178	"RAHIM YAR KHAN"
65185	117	1	6	28.2451	70.16275	"RAHIM YAR KHAN"
65244	117	1	1	28.2474	70.16327	"RAHIM YAR KHAN"
65233	117	1	1	28.24772	70.16405	"RAHIM YAR KHAN"
65284	117	1	6	28.24582	70.16175	"RAHIM YAR KHAN"
64782	117	1	1	28.24703	70.16212	"RAHIM YAR KHAN"
65260	117	1	6	28.24515	70.16313	"RAHIM YAR KHAN"
65242	117	1	1	28.24738	70.16302	"RAHIM YAR KHAN"
65199	117	1	6	28.24578	70.16305	"RAHIM YAR KHAN"
65191	117	1	6	28.24645	70.16296	"RAHIM YAR KHAN"
65145	117	99	3	28.24903	70.15712	"RAHIM YAR KHAN"
65202	117	99	2	28.23648	70.15343	"RAHIM YAR KHAN"
65317	117	99	2	28.24185	70.14515	"RAHIM YAR KHAN"
65136	117	99	2	28.24828	70.15057	"RAHIM YAR KHAN"
65137	117	99	2	28.2481	70.15054	"RAHIM YAR KHAN"
10815	118	1	1	28.19628	70.19055	"RAHIM YAR KHAN"
10764	118	1	1	28.19768	70.18983	"RAHIM YAR KHAN"
10797	118	1	1	28.19697	70.189	"RAHIM YAR KHAN"
10827	118	1	1	28.1957	70.1899	"RAHIM YAR KHAN"
10880	118	1	1	28.18932	70.1777	"RAHIM YAR KHAN"
10801	118	1	1	28.1969	70.18919	"RAHIM YAR KHAN"
10762	118	1	1	28.19758	70.1901	"RAHIM YAR KHAN"
10772	118	1	1	28.19635	70.19033	"RAHIM YAR KHAN"
10726	118	1	1	28.198	70.18887	"RAHIM YAR KHAN"
10829	118	1	1	28.1961	70.18972	"RAHIM YAR KHAN"
10729	118	1	1	28.1982	70.18915	"RAHIM YAR KHAN"
10810	118	1	1	28.19565	70.18925	"RAHIM YAR KHAN"
10870	118	99	0	28.19635	70.18602	"RAHIM YAR KHAN"
10860	118	99	0	28.20858	70.18829	"RAHIM YAR KHAN"
10866	118	99	0	28.2132	70.19073	"RAHIM YAR KHAN"
10861	118	99	0	28.20733	70.18823	"RAHIM YAR KHAN"
64301	119	1	2	28.15915	70.1712	"RAHIM YAR KHAN"
64562	119	1	2	28.15827	70.1679	"RAHIM YAR KHAN"
64745	119	1	2	28.15828	70.16924	"RAHIM YAR KHAN"
64602	119	1	2	28.15747	70.16887	"RAHIM YAR KHAN"
64532	119	1	2	28.15842	70.17046	"RAHIM YAR KHAN"
64703	119	1	2	28.1596	70.17267	"RAHIM YAR KHAN"
64669	119	1	2	28.15843	70.16983	"RAHIM YAR KHAN"
64595	119	1	2	28.15753	70.16825	"RAHIM YAR KHAN"
64555	119	1	2	28.15748	70.16792	"RAHIM YAR KHAN"
64743	119	1	2	28.1574	70.16752	"RAHIM YAR KHAN"
64751	119	1	2	28.15865	70.16904	"RAHIM YAR KHAN"
64305	119	1	2	28.15908	70.1708	"RAHIM YAR KHAN"
64655	119	1	2	28.15775	70.16942	"RAHIM YAR KHAN"
64616	119	2	1	28.14672	70.16987	"RAHIM YAR KHAN"
64516	119	2	1	28.14827	70.16821	"RAHIM YAR KHAN"
64630	119	99	0	28.14823	70.16235	"RAHIM YAR KHAN"
22578	120	1	5	28.17465	70.10368	"RAHIM YAR KHAN"
22674	120	1	3	28.1759	70.0957	"RAHIM YAR KHAN"
22518	120	1	4	28.17512	70.10155	"RAHIM YAR KHAN"
22438	120	1	2	28.17512	70.10081	"RAHIM YAR KHAN"
22536	120	1	4	28.17418	70.10228	"RAHIM YAR KHAN"
22529	120	1	4	28.1747	70.10291	"RAHIM YAR KHAN"
22545	120	1	4	28.1738	70.10291	"RAHIM YAR KHAN"
22663	120	1	3	28.16487	70.10175	"RAHIM YAR KHAN"
22400	120	1	1	28.17585	70.10081	"RAHIM YAR KHAN"
22489	120	1	4	28.17382	70.10205	"RAHIM YAR KHAN"
22625	120	1	3	28.175	70.1047	"RAHIM YAR KHAN"
22647	120	1	8	28.17403	70.10128	"RAHIM YAR KHAN"
22459	120	1	2	28.17443	70.10033	"RAHIM YAR KHAN"
22445	120	1	2	28.17473	70.10107	"RAHIM YAR KHAN"
22626	120	1	3	28.17417	70.10429	"RAHIM YAR KHAN"
22671	120	1	3	28.16755	70.09642	"RAHIM YAR KHAN"
23630	121	1	6	28.15853	70.1441	"RAHIM YAR KHAN"
23634	121	1	6	28.15928	70.14172	"RAHIM YAR KHAN"
23432	121	2	1	28.15853	70.11462	"RAHIM YAR KHAN"
23327	121	2	1	28.1585	70.11179	"RAHIM YAR KHAN"
23328	121	2	1	28.15827	70.11198	"RAHIM YAR KHAN"
23347	121	2	1	28.15667	70.1131	"RAHIM YAR KHAN"
23549	121	2	2	28.15893	70.12247	"RAHIM YAR KHAN"
23502	121	2	2	28.15572	70.1168	"RAHIM YAR KHAN"
23419	121	2	1	28.15837	70.11425	"RAHIM YAR KHAN"
23503	121	2	2	28.15572	70.11688	"RAHIM YAR KHAN"
23458	121	2	2	28.1562	70.11514	"RAHIM YAR KHAN"
23546	121	2	2	28.15838	70.12233	"RAHIM YAR KHAN"
23350	121	2	1	28.15723	70.11265	"RAHIM YAR KHAN"
23596	121	2	2	28.15793	70.11895	"RAHIM YAR KHAN"
23727	121	99	5	28.1593	70.1417	"RAHIM YAR KHAN"
23743	121	99	5	28.16563	70.13102	"RAHIM YAR KHAN"
45240	123	1	27	28.90493	70.68085	"RAHIM YAR KHAN"
43942	123	1	21	28.90887	70.68602	"RAHIM YAR KHAN"
43936	123	1	21	28.90945	70.68559	"RAHIM YAR KHAN"
43938	123	1	21	28.90912	70.68549	"RAHIM YAR KHAN"
44918	123	1	27	28.90658	70.6872	"RAHIM YAR KHAN"
43977	123	1	21	28.90905	70.68528	"RAHIM YAR KHAN"
45033	123	3	15	28.91665	70.69015	"RAHIM YAR KHAN"
44939	123	4	18	28.91103	70.6834	"RAHIM YAR KHAN"
44032	123	99	11	28.91603	70.7137	"RAHIM YAR KHAN"
45305	123	99	29	28.92782	70.71775	"RAHIM YAR KHAN"
44187	123	99	22	28.91787	70.71854	"RAHIM YAR KHAN"
45006	123	99	0	28.92365	70.70858	"RAHIM YAR KHAN"
45883	123	99	5	28.91712	70.69618	"RAHIM YAR KHAN"
44034	123	99	11	28.91528	70.71362	"RAHIM YAR KHAN"
45836	123	99	24	28.90993	70.6956	"RAHIM YAR KHAN"
44001	123	99	24	28.90937	70.69643	"RAHIM YAR KHAN"
55796	124	1	4	28.68963	70.46003	"RAHIM YAR KHAN"
55816	124	1	4	28.69142	70.45838	"RAHIM YAR KHAN"
55828	124	1	4	28.6917	70.45838	"RAHIM YAR KHAN"
56425	124	3	15	28.69418	70.47491	"RAHIM YAR KHAN"
56439	124	3	15	28.69412	70.47563	"RAHIM YAR KHAN"
57404	124	4	7	28.68383	70.46933	"RAHIM YAR KHAN"
57369	124	4	7	28.68383	70.40207	"RAHIM YAR KHAN"
57418	124	4	7	28.68395	70.46958	"RAHIM YAR KHAN"
57420	124	4	7	28.68437	70.46947	"RAHIM YAR KHAN"
56366	124	5	14	28.68588	70.48016	"RAHIM YAR KHAN"
55759	124	6	6	28.68723	70.46363	"RAHIM YAR KHAN"
55742	124	6	6	28.68712	70.4642	"RAHIM YAR KHAN"
56503	124	99	10	28.69842	70.48116	"RAHIM YAR KHAN"
56461	124	99	11	28.6971	70.47667	"RAHIM YAR KHAN"
57456	124	99	9	28.69502	70.47135	"RAHIM YAR KHAN"
56540	124	99	16	28.7012	70.48344	"RAHIM YAR KHAN"
53249	130	1	3	28.74942	70.60157	"RAHIM YAR KHAN"
54164	130	2	12	28.72863	70.59843	"RAHIM YAR KHAN"
54128	130	2	12	28.74105	70.58763	"RAHIM YAR KHAN"
54012	130	99	11	28.7505	70.58673	"RAHIM YAR KHAN"
53311	130	99	0	28.7499	70.60114	"RAHIM YAR KHAN"
54242	130	99	14	28.72758	70.59216	"RAHIM YAR KHAN"
53972	130	99	8	28.75438	70.59219	"RAHIM YAR KHAN"
54177	130	99	7	28.72943	70.59743	"RAHIM YAR KHAN"
53449	130	99	5	28.75845	70.60947	"RAHIM YAR KHAN"
53432	130	99	4	28.73712	70.60252	"RAHIM YAR KHAN"
53291	130	99	0	28.74923	70.60204	"RAHIM YAR KHAN"
54005	130	99	11	28.75082	70.5859	"RAHIM YAR KHAN"
54252	130	99	14	28.7226	70.5853	"RAHIM YAR KHAN"
54059	130	99	10	28.74698	70.58447	"RAHIM YAR KHAN"
53344	130	99	0	28.74893	70.60333	"RAHIM YAR KHAN"
53277	130	99	0	28.7485	70.60194	"RAHIM YAR KHAN"
11716	131	1	26	28.21165	69.89357	"RAHIM YAR KHAN"
11251	131	1	1	28.21528	69.89381	"RAHIM YAR KHAN"
13229	131	1	12	28.20432	69.89404	"RAHIM YAR KHAN"
11222	131	1	1	28.21552	69.89425	"RAHIM YAR KHAN"
11490	131	1	9	28.211	69.8997	"RAHIM YAR KHAN"
11810	131	1	26	28.21155	69.89252	"RAHIM YAR KHAN"
11748	131	1	26	28.21185	69.89381	"RAHIM YAR KHAN"
11826	131	1	26	28.21143	69.8924	"RAHIM YAR KHAN"
11719	131	1	26	28.21172	69.89367	"RAHIM YAR KHAN"
13284	131	2	16	28.19942	69.91261	"RAHIM YAR KHAN"
13303	131	99	17	28.19943	69.91125	"RAHIM YAR KHAN"
13393	131	99	20	28.1897	69.92947	"RAHIM YAR KHAN"
13372	131	99	20	28.1849	69.92281	"RAHIM YAR KHAN"
11955	131	99	34	28.22602	69.89108	"RAHIM YAR KHAN"
12561	131	99	18	28.20603	69.90165	"RAHIM YAR KHAN"
12763	131	99	24	28.19845	69.93079	"RAHIM YAR KHAN"
49371	132	1	6	28.7164	70.6048	"RAHIM YAR KHAN"
49342	132	1	6	28.71747	70.6054	"RAHIM YAR KHAN"
49362	132	1	6	28.7166	70.6047	"RAHIM YAR KHAN"
49416	132	1	6	28.7164	70.60482	"RAHIM YAR KHAN"
49368	132	1	6	28.71613	70.60557	"RAHIM YAR KHAN"
49352	132	1	6	28.71682	70.60555	"RAHIM YAR KHAN"
49349	132	1	6	28.71718	70.60532	"RAHIM YAR KHAN"
49102	132	2	1	28.73337	70.62265	"RAHIM YAR KHAN"
49228	132	99	4	28.72792	70.615	"RAHIM YAR KHAN"
49413	132	99	8	28.71475	70.60395	"RAHIM YAR KHAN"
49476	132	99	9	28.7156	70.60627	"RAHIM YAR KHAN"
49469	132	99	9	28.71522	70.6062	"RAHIM YAR KHAN"
49447	132	99	9	28.7149	70.60523	"RAHIM YAR KHAN"
49547	132	99	9	28.71492	70.60532	"RAHIM YAR KHAN"
48956	132	99	14	28.706	70.58781	"RAHIM YAR KHAN"
49474	132	99	9	28.71563	70.60635	"RAHIM YAR KHAN"
61305	133	1	10	28.81168	70.46747	"RAHIM YAR KHAN"
61290	133	1	10	28.8156	70.47207	"RAHIM YAR KHAN"
61330	133	1	11	28.80955	70.45315	"RAHIM YAR KHAN"
61171	133	1	12	28.81008	70.46792	"RAHIM YAR KHAN"
61397	133	1	12	28.8094	70.4676	"RAHIM YAR KHAN"
61174	133	1	12	28.8101	70.46786	"RAHIM YAR KHAN"
61259	133	1	13	28.81035	70.46698	"RAHIM YAR KHAN"
61479	133	2	15	28.82628	70.47085	"RAHIM YAR KHAN"
61355	133	99	16	28.79832	70.46312	"RAHIM YAR KHAN"
60990	133	99	6	28.81567	70.4658	"RAHIM YAR KHAN"
60945	133	99	6	28.8173	70.46308	"RAHIM YAR KHAN"
60901	133	99	7	28.8121	70.45327	"RAHIM YAR KHAN"
61056	133	99	9	28.82162	70.4658	"RAHIM YAR KHAN"
60797	133	99	3	28.82333	70.47255	"RAHIM YAR KHAN"
61438	133	99	17	28.81028	70.4686	"RAHIM YAR KHAN"
60807	133	99	3	28.8245	70.47297	"RAHIM YAR KHAN"
99623	134	1	6	28.42252	70.14359	"RAHIM YAR KHAN"
99812	134	1	7	28.41603	70.13345	"RAHIM YAR KHAN"
99881	134	1	11	28.415	70.13741	"RAHIM YAR KHAN"
99880	134	1	11	28.41548	70.13645	"RAHIM YAR KHAN"
99316	134	1	16	28.41423	70.13512	"RAHIM YAR KHAN"
99737	134	1	1	28.41603	70.13465	"RAHIM YAR KHAN"
99823	134	1	7	28.4154	70.13295	"RAHIM YAR KHAN"
99630	134	1	6	28.42198	70.14278	"RAHIM YAR KHAN"
99405	134	1	12	28.41468	70.13382	"RAHIM YAR KHAN"
99380	134	1	12	28.41437	70.1332	"RAHIM YAR KHAN"
99582	134	2	19	28.429	70.13378	"RAHIM YAR KHAN"
99510	134	99	17	28.422	70.1267	"RAHIM YAR KHAN"
99784	134	99	18	28.41537	70.13347	"RAHIM YAR KHAN"
99530	134	99	17	28.42227	70.12828	"RAHIM YAR KHAN"
99491	134	99	21	28.4168	70.13088	"RAHIM YAR KHAN"
99484	134	99	21	28.41512	70.13012	"RAHIM YAR KHAN"
64876	135	1	7	28.42332	70.07204	"RAHIM YAR KHAN"
64971	135	1	7	28.42253	70.07515	"RAHIM YAR KHAN"
21790	135	2	24	28.4421	70.08479	"RAHIM YAR KHAN"
65044	135	3	8	28.42108	70.08127	"RAHIM YAR KHAN"
21563	135	3	21	28.43532	70.08342	"RAHIM YAR KHAN"
64998	135	99	5	28.44687	70.07125	"RAHIM YAR KHAN"
21626	135	99	22	28.44318	70.07657	"RAHIM YAR KHAN"
21534	135	99	11	28.42163	70.07878	"RAHIM YAR KHAN"
65008	135	99	4	28.44088	70.068	"RAHIM YAR KHAN"
65093	135	99	4	28.44188	70.06758	"RAHIM YAR KHAN"
65024	135	99	25	28.43703	70.06443	"RAHIM YAR KHAN"
64845	135	99	16	28.43438	70.07706	"RAHIM YAR KHAN"
65112	135	99	1	28.43152	70.07018	"RAHIM YAR KHAN"
21565	135	99	14	28.43353	70.08417	"RAHIM YAR KHAN"
65099	135	99	5	28.4475	70.07124	"RAHIM YAR KHAN"
21579	135	99	18	28.43757	70.08051	"RAHIM YAR KHAN"
34136	136	1	33	28.61587	70.58695	"RAHIM YAR KHAN"
33230	136	3	26	28.60347	70.60247	"RAHIM YAR KHAN"
33298	136	3	26	28.60448	70.59995	"RAHIM YAR KHAN"
33266	136	3	26	28.60353	70.60145	"RAHIM YAR KHAN"
33236	136	3	26	28.60352	70.60202	"RAHIM YAR KHAN"
34081	136	4	32	28.6101	70.62468	"RAHIM YAR KHAN"
34700	136	6	3	28.5921	70.61947	"RAHIM YAR KHAN"
35352	136	99	9	28.59315	70.58524	"RAHIM YAR KHAN"
33432	136	99	23	28.60773	70.60118	"RAHIM YAR KHAN"
35426	136	99	11	28.59597	70.58722	"RAHIM YAR KHAN"
33361	136	99	0	28.60843	70.59527	"RAHIM YAR KHAN"
34739	136	99	4	28.5922	70.62468	"RAHIM YAR KHAN"
33396	136	99	0	28.60915	70.60027	"RAHIM YAR KHAN"
34536	136	99	1	28.58673	70.63122	"RAHIM YAR KHAN"
33973	136	99	27	28.59998	70.58365	"RAHIM YAR KHAN"
34227	136	99	0	28.61278	70.58977	"RAHIM YAR KHAN"
49992	137	1	17	28.8926	70.62237	"RAHIM YAR KHAN"
50005	137	1	17	28.89608	70.62047	"RAHIM YAR KHAN"
49791	137	2	14	28.89295	70.63197	"RAHIM YAR KHAN"
49907	137	2	13	28.88437	70.61182	"RAHIM YAR KHAN"
49861	137	2	4	28.89575	70.63112	"RAHIM YAR KHAN"
49878	137	2	15	28.89655	70.62695	"RAHIM YAR KHAN"
49853	137	2	4	28.89588	70.6311	"RAHIM YAR KHAN"
49819	137	2	14	28.89345	70.63139	"RAHIM YAR KHAN"
49899	137	2	13	28.87983	70.63609	"RAHIM YAR KHAN"
50622	137	3	6	28.90088	70.61153	"RAHIM YAR KHAN"
50621	137	3	6	28.9003	70.61197	"RAHIM YAR KHAN"
50615	137	3	6	28.90028	70.61166	"RAHIM YAR KHAN"
50660	137	3	6	28.89955	70.61335	"RAHIM YAR KHAN"
50147	137	99	1	28.9064	70.62295	"RAHIM YAR KHAN"
50138	137	99	1	28.90813	70.6277	"RAHIM YAR KHAN"
50804	137	99	9	28.90522	70.61797	"RAHIM YAR KHAN"
100937	139	1	12	28.59757	70.17719	"RAHIM YAR KHAN"
100975	139	1	12	28.59965	70.17585	"RAHIM YAR KHAN"
28939	139	2	10	28.58727	70.18007	"RAHIM YAR KHAN"
29274	139	3	13	28.60762	70.18017	"RAHIM YAR KHAN"
29225	139	3	13	28.6058	70.17942	"RAHIM YAR KHAN"
101010	139	3	6	28.60723	70.17796	"RAHIM YAR KHAN"
101162	139	3	6	28.60727	70.17809	"RAHIM YAR KHAN"
29271	139	3	13	28.60807	70.18115	"RAHIM YAR KHAN"
29310	139	3	13	28.60722	70.18035	"RAHIM YAR KHAN"
101065	139	3	6	28.60815	70.17715	"RAHIM YAR KHAN"
101061	139	3	6	28.60792	70.17705	"RAHIM YAR KHAN"
100906	139	4	5	28.59835	70.17516	"RAHIM YAR KHAN"
100875	139	99	11	28.5963	70.15794	"RAHIM YAR KHAN"
101099	139	99	1	28.60453	70.16959	"RAHIM YAR KHAN"
100811	139	99	14	28.5871	70.14823	"RAHIM YAR KHAN"
101210	139	99	14	28.58683	70.14733	"RAHIM YAR KHAN"
60126	140	1	5	28.62267	70.33058	"RAHIM YAR KHAN"
60015	140	3	1	28.58755	70.31907	"RAHIM YAR KHAN"
59999	140	3	1	28.5906	70.32398	"RAHIM YAR KHAN"
59983	140	3	1	28.5922	70.32307	"RAHIM YAR KHAN"
59973	140	3	1	28.59265	70.32232	"RAHIM YAR KHAN"
59966	140	3	1	28.5928	70.32273	"RAHIM YAR KHAN"
59997	140	3	1	28.5906	70.32398	"RAHIM YAR KHAN"
60087	140	99	6	28.63033	70.32965	"RAHIM YAR KHAN"
60021	140	99	6	28.58693	70.31928	"RAHIM YAR KHAN"
60140	140	99	11	28.62655	70.33247	"RAHIM YAR KHAN"
59949	140	99	2	28.5908	70.32878	"RAHIM YAR KHAN"
60145	140	99	11	28.62665	70.3319	"RAHIM YAR KHAN"
59952	140	99	2	28.59088	70.32906	"RAHIM YAR KHAN"
60049	140	99	0	28.6091	70.32592	"RAHIM YAR KHAN"
60028	140	99	7	28.5957	70.32667	"RAHIM YAR KHAN"
60040	140	99	8	28.60442	70.3223	"RAHIM YAR KHAN"
30864	141	1	12	28.78663	70.38869	"RAHIM YAR KHAN"
30601	141	1	12	28.7872	70.39742	"RAHIM YAR KHAN"
30478	141	1	13	28.78253	70.39648	"RAHIM YAR KHAN"
30792	141	1	12	28.7845	70.38818	"RAHIM YAR KHAN"
30659	141	1	12	28.78565	70.39187	"RAHIM YAR KHAN"
30607	141	1	13	28.78382	70.39877	"RAHIM YAR KHAN"
30523	141	1	12	28.7862	70.39513	"RAHIM YAR KHAN"
101709	141	99	3	28.77823	70.38668	"RAHIM YAR KHAN"
101764	141	99	0	28.78002	70.38654	"RAHIM YAR KHAN"
101725	141	99	8	28.77965	70.38448	"RAHIM YAR KHAN"
101802	141	99	17	28.77835	70.38622	"RAHIM YAR KHAN"
101739	141	99	0	28.7896	70.38203	"RAHIM YAR KHAN"
101811	141	99	17	28.77833	70.38647	"RAHIM YAR KHAN"
101676	141	99	3	28.76775	70.38077	"RAHIM YAR KHAN"
101737	141	99	0	28.78967	70.38198	"RAHIM YAR KHAN"
101738	141	99	0	28.78985	70.38178	"RAHIM YAR KHAN"
59081	142	1	24	28.86418	70.90065	"RAHIM YAR KHAN"
59118	142	1	24	28.86357	70.89989	"RAHIM YAR KHAN"
58982	142	99	17	28.8854	70.8832	"RAHIM YAR KHAN"
58882	142	99	13	28.89362	70.902	"RAHIM YAR KHAN"
59011	142	99	0	28.8718	70.89133	"RAHIM YAR KHAN"
58869	142	99	13	28.89423	70.89783	"RAHIM YAR KHAN"
62102	142	99	7	28.8864	70.87455	"RAHIM YAR KHAN"
62014	142	99	4	28.89117	70.88233	"RAHIM YAR KHAN"
62107	142	99	7	28.88707	70.8746	"RAHIM YAR KHAN"
62088	142	99	1	28.884	70.87822	"RAHIM YAR KHAN"
58954	142	99	17	28.87873	70.8924	"RAHIM YAR KHAN"
58859	142	99	11	28.89402	70.89193	"RAHIM YAR KHAN"
62084	142	99	1	28.88373	70.87798	"RAHIM YAR KHAN"
62106	142	99	7	28.8876	70.8749	"RAHIM YAR KHAN"
62146	142	99	5	28.88775	70.87434	"RAHIM YAR KHAN"
59169	142	99	21	28.88105	70.90477	"RAHIM YAR KHAN"
16309	143	1	2	28.24762	69.97965	"RAHIM YAR KHAN"
14198	143	1	11	28.25555	69.98807	"RAHIM YAR KHAN"
